Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
NiteGamerYT 190k,15872,6,0.47,1.4,429,200,739
CIUPEA 144.HZ,54479,9,0.61,0.5,1938,1174,2441
Τriρs,478280,25,0.7,1.0,2581,1785,21679
prOMancos,4300077,576,1.27,1.8,32898,40942,175643
Scribell,212388,34,1.03,2.3,1491,1505,8945
Qx_9u انستا,228620,79,1.03,2.4,3269,3281,8903
Deathfury420,1257973,51,0.95,0.6,8568,8101,55671
KING nax nax,1407541,70,0.8,0.7,10460,8356,63105
UçaN_HamSi,67758,25,0.68,1.1,2182,1471,3199
Kid_Fighter,2428145,331,1.06,2.8,11967,12348,103551
IZHHAN,2502117,227,1.37,1.2,18266,24802,103625
jsemac,4134984,265,0.68,0.9,28830,19535,184946
Ci2i,4323464,366,0.84,1.6,22321,18522,191232
cleo coroa,939388,76,0.82,0.8,9529,7745,40310
MISFITZKING.,2817916,25,0.19,0.1,17166,3213,161451
Twitch ClueVibes,42073,5,1.06,0.6,796,838,1868
ᴿᵃᵛᵌᴺᵔᵜᵔ,24262,7,0.64,2.3,311,196,1167
Onkel Apo 〆,1022158,174,0.99,2.5,7031,6783,45827
madman.mm87,2422076,157,0.78,1.4,11143,8543,112357
Ninjadad5,4595164,297,1.01,0.8,36487,36619,185645
LƎО,389598,52,1.16,1.5,3467,3963,15958
ATK MAC,1257713,139,1.0,1.7,8038,7908,54911
CODlCE XIUDERONE,2848959,481,1.03,2.5,18940,19061,123888
TheNewbiieTTV,106409,10,1.22,1.2,863,1037,4324
juan ay лол ت,2859587,216,1.03,1.2,18101,18455,121536
MRºRIP,74063,11,0.97,2.7,410,387,3227
MissJayBtw,832538,64,0.93,1.4,4442,4050,36644
Irøn Ðux,2395920,149,1.13,1.1,13787,15400,106063
thichlachoi,1135164,123,0.83,1.8,6873,5569,54715
Damnnn Habibi,623413,66,0.91,1.3,5171,4644,28842
VIEJO_MATABOTS,734264,60,0.68,1.7,3574,2373,33277
ᴄᴏᴅᴇ_ꜰʀ0ɴᴛʟɪɴᴇᴛᴠ,1409461,15,0.58,0.2,8380,4862,70284
GoodMyK,1649346,92,1.15,0.9,10401,11903,73735
UpstateNate518,637402,134,1.12,2.1,6407,7016,27794
Firestorm0_0,957144,132,0.76,2.3,5759,4280,41939
V I R U S,197088,31,1.03,1.7,1811,1839,7799
X_X LiX X_X,1175715,106,1.24,1.5,6840,8372,48957
royаl.,836374,85,1.05,0.9,9658,10075,37393
Tp_sergio23,1290487,182,0.82,2.1,8575,6847,60371
Papa Toson,1953617,276,1.36,2.8,9952,13134,79177
101shanks,431941,70,1.41,1.8,3850,5335,17043
GAMER لعيب ア,1353024,64,0.83,0.6,10276,8452,61901
7CH.,1358807,134,1.15,1.5,8783,9914,58912
fabry.70,2672310,274,1.21,2.7,10247,12022,116844
DreDenn on YT,153532,29,1.17,2.4,1226,1397,6569
Monoclide,1220114,189,0.88,2.8,6862,5891,53894
RailCart,4479084,456,0.73,1.8,25222,17993,202919
Fαtαlity,2439235,309,1.01,2.4,12918,12759,113497
Abboudi,3929948,222,1.35,1.1,19867,26461,162462
Mkay-Ultra,893152,128,1.41,2.2,5784,7967,37567
SpOkO21,1403116,88,0.54,1.1,7863,4235,70998
TDT_Banishmaster,3153732,264,0.48,1.4,18719,8767,169810
ᵀʷᶦᵗᶜʰMinerimOxe,217015,34,1.36,2.3,1461,1940,9074
Alpawarrior,2257251,372,1.15,1.7,21479,24195,94431
EDOBERI,4212928,416,1.43,2.7,15660,21869,179289
KFC_Froggy 蛙組.,448050,28,0.91,1.1,2586,2332,20497
TheMagikToxicツ,165230,25,0.66,0.9,2829,1859,7237
Lady Suralai,50303,3,0.66,1.0,308,200,2268
мaykee,2219680,283,1.42,1.3,21364,30031,83417
Giant_Lana,1247739,135,0.87,1.5,8865,7560,53043
MaquinaOvalle,3636329,259,0.98,0.8,33151,32093,144896
oG Fruittyy ツ,792916,96,1.27,1.9,5188,6466,33666
psn(pr-noga),39153,1,0.71,0.4,267,188,1795
packet loss leo,16610,7,1.16,2.8,251,283,692
PapaMatze1968,1228065,48,0.8,0.4,10849,8683,53952
TwitchKingcocos,1015752,150,0.71,2.8,5318,3658,47092
MBA-Jancs,1142160,189,1.0,2.3,8208,8054,51285
05 ToyseTe,44816,15,0.85,2.0,763,638,1860
88Uncle Jimmy88,550169,57,1.33,1.8,3218,4203,22158
OG Thunderbons,824131,92,0.91,2.0,4650,4136,35341
F.ION MrPotage,1574965,215,1.29,1.6,13045,16597,62326
bencas31,4228743,508,0.97,1.6,31362,30042,183484
Remister.,749116,105,0.75,1.8,5783,4278,32494
Sk Fedee,958062,65,1.46,0.8,7880,11411,37844
JUST SLO7,786949,174,1.28,2.7,6455,8050,30568
Kalaaleq Beast,282860,15,0.89,0.8,1838,1621,12701
Willya Ben Ova,9636,0,0.26,0.0,200,52,526
ҠillswitcҤ,2616792,231,0.87,1.6,14102,12066,112842
pepeluvil,716906,92,0.82,2.1,4421,3539,32033
Mikest584,4724,0,0.53,0.0,209,110,210
a Glad Lad,2020823,108,1.2,0.9,11496,13631,89476
MBG-Muallim-Naci,2079997,301,1.4,0.9,32776,45588,79621
itsjust_Ivy_,296749,9,0.88,0.3,2769,2427,12597
Ar1us.,2283806,222,1.38,1.5,14986,20336,96091
MåÐamButterƒly,559850,80,0.64,1.7,4774,3020,24883
miniyo2,82417,5,0.28,0.8,597,166,4179
Tishø,374857,28,0.24,0.2,14316,3500,10800
djharrymusicTV,977202,74,1.15,1.2,6112,6973,43418
TM mohamad,310528,47,0.85,1.4,3390,2842,13415
JustBlameJoshTV,25243,4,0.72,2.2,185,131,1123
Erkan does care,191914,74,0.56,1.1,6930,3862,9095
Evening0 Twitch,190982,14,0.92,0.8,1837,1681,8050
ToXic_Crispin,181857,22,0.92,1.1,1922,1740,7623
Mr chatman,1015309,75,0.94,1.0,7276,6772,43304
SP7_Sepo,982265,83,0.73,1.2,7115,5165,43158
LaLaLa Lowla,49634,16,1.45,1.7,946,1348,2030
Last_Samurai_10,875340,61,0.67,0.6,10617,7047,38801
S3Saint,194761,22,0.92,1.6,1400,1263,8436
Mahou_Twitch,2345511,225,1.27,1.3,16726,21004,108328
Doϲtor,187571,25,1.38,1.7,1435,1945,7229
lalana043,98950,12,1.11,1.7,702,766,4080
6GAMEOVER9 何,583939,135,1.3,2.4,5531,7023,27784
twitch_ruiziNNN,1119339,60,1.23,0.7,9127,11184,44983
CloudCatzz,3352623,325,0.55,1.4,22599,12148,157472
Newcloak,3160684,168,0.65,0.7,22427,14430,149675
MӨПΣY,805968,54,0.75,1.0,5292,3911,37143
B.GoD_AsK,1533669,220,1.03,1.8,12299,12486,68063
SSOJ-User,1117027,51,0.82,0.6,8965,7310,49871
Blaze Zzzz,515121,95,1.24,1.6,6090,7434,20045
PEROALIENX,1982950,85,1.15,0.4,19167,21986,81499
PWA -KiLLUmiNaTI,1990137,153,0.89,1.0,14574,12793,89194
milanko11,112710,11,0.96,2.1,532,498,4966
BarbieTown,119546,9,0.5,0.9,973,485,6079
paralen01,387866,42,0.94,1.5,2734,2530,16332
YT Corran Drake,1839816,221,1.07,1.7,13355,14118,78821
Bot_TexasTim,369398,23,0.52,0.3,7972,4144,16326
Sol1101,4172204,195,0.67,0.8,24785,16510,186168
Scentiic,1981283,216,1.2,1.1,19329,22921,85076
THE_CONTRACTOR,620753,17,0.68,0.3,6727,4563,28324
Sinner YT,1437778,54,0.94,0.6,9428,8845,64021
Dr_Krashツ,607940,58,1.05,1.6,3631,3755,27883
FIR-TorTuGniaL-,458405,28,1.1,1.1,2476,2705,20043
Znojmius CZ,1122853,94,1.07,1.6,5862,6195,48003
Twitchlvadriana,148885,14,0.49,1.0,1363,661,6890
CrabStik,537510,48,1.19,0.9,5452,6421,21954
Muppetlogic,1444068,141,1.29,1.9,7497,9472,59487
Ziximous,1064986,117,1.3,1.5,7731,9881,44625
Banu-13Hz-,1631362,194,1.12,1.9,10264,11312,69155
Gughi black eye,115333,28,0.82,2.1,1319,1053,5377
itsbloodymarie,1226656,216,1.04,2.3,9503,9649,52188
Haze-Dubby ॐ,129618,27,0.96,1.3,2043,1943,5306
SpArTaNXx45,1596293,80,0.73,0.7,11086,8087,75631
ᴛʜᴇ ŁØŘĐ,382127,44,0.75,1.2,3618,2684,17669
TheJazzmanCometh,3363807,91,1.08,0.4,25679,27640,135682
Alee10ツ,712013,58,0.73,0.8,7260,5258,33752
JarvoxTv,826560,93,1.24,2.2,4160,5049,35321
SimplyÃℓeχaиdrØs,224481,34,1.04,2.0,1738,1765,9662
Tῳizzy,20565,1,0.55,0.8,121,66,1013
The Ecuasian,245207,28,0.83,1.7,1650,1347,11219
xCrystalShip,315868,23,0.4,0.8,2789,1104,16586
NOTʲᶜ ˡᶦᵐᶦᵗˡᵉˢˢﾂ,878915,64,1.1,1.3,5103,5564,36841
unikornpiss,69249,13,0.84,1.0,1276,1066,3102
DammitJess,184664,21,0.83,1.0,2126,1738,8026
ToffieFeeTV,907001,63,1.09,1.2,5415,5844,40838
