Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
NiteGamerYT 190k,15872,6,0.47,1.4,429,200,739
CIUPEA 144.HZ,54479,9,0.61,0.5,1938,1174,2441
Τriρs,478280,25,0.7,1.0,2581,1785,21679
Scribell,212388,34,1.03,2.3,1491,1505,8945
UçaN_HamSi,67758,25,0.68,1.1,2182,1471,3199
Twitch ClueVibes,42073,5,1.06,0.6,796,838,1868
ᴿᵃᵛᵌᴺᵔᵜᵔ,24262,7,0.64,2.3,311,196,1167
TheNewbiieTTV,106409,10,1.22,1.2,863,1037,4324
MRºRIP,74063,11,0.97,2.7,410,387,3227
V I R U S,197088,31,1.03,1.7,1811,1839,7799
DreDenn on YT,153532,29,1.17,2.4,1226,1397,6569
ᵀʷᶦᵗᶜʰMinerimOxe,217015,34,1.36,2.3,1461,1940,9074
KFC_Froggy 蛙組.,448050,28,0.91,1.1,2586,2332,20497
TheMagikToxicツ,165230,25,0.66,0.9,2829,1859,7237
Lady Suralai,50303,3,0.66,1.0,308,200,2268
psn(pr-noga),39153,1,0.71,0.4,267,188,1795
packet loss leo,16610,7,1.16,2.8,251,283,692
05 ToyseTe,44816,15,0.85,2.0,763,638,1860
Kalaaleq Beast,282860,15,0.89,0.8,1838,1621,12701
Willya Ben Ova,9636,0,0.26,0.0,200,52,526
Mikest584,4724,0,0.53,0.0,209,110,210
itsjust_Ivy_,296749,9,0.88,0.3,2769,2427,12597
miniyo2,82417,5,0.28,0.8,597,166,4179
JustBlameJoshTV,25243,4,0.72,2.2,185,131,1123
Evening0 Twitch,190982,14,0.92,0.8,1837,1681,8050
ToXic_Crispin,181857,22,0.92,1.1,1922,1740,7623
LaLaLa Lowla,49634,16,1.45,1.7,946,1348,2030
S3Saint,194761,22,0.92,1.6,1400,1263,8436
Doϲtor,187571,25,1.38,1.7,1435,1945,7229
lalana043,98950,12,1.11,1.7,702,766,4080
milanko11,112710,11,0.96,2.1,532,498,4966
BarbieTown,119546,9,0.5,0.9,973,485,6079
paralen01,387866,42,0.94,1.5,2734,2530,16332
FIR-TorTuGniaL-,458405,28,1.1,1.1,2476,2705,20043
Twitchlvadriana,148885,14,0.49,1.0,1363,661,6890
Gughi black eye,115333,28,0.82,2.1,1319,1053,5377
Haze-Dubby ॐ,129618,27,0.96,1.3,2043,1943,5306
SimplyÃℓeχaиdrØs,224481,34,1.04,2.0,1738,1765,9662
Tῳizzy,20565,1,0.55,0.8,121,66,1013
The Ecuasian,245207,28,0.83,1.7,1650,1347,11219
xCrystalShip,315868,23,0.4,0.8,2789,1104,16586
unikornpiss,69249,13,0.84,1.0,1276,1066,3102
DammitJess,184664,21,0.83,1.0,2126,1738,8026
d0rrk,189730,26,1.31,1.2,2209,2865,7877
ᵀᵀⱽ LupiiNz,69747,10,0.84,0.6,1756,1464,3049
222 GaminG on FB,75710,9,0.97,2.5,361,342,3562
OG-nutone76,143354,15,0.71,1.4,1071,755,6096
Batatinha_Chips,305462,21,0.96,1.4,1534,1446,13489
Roger_Rabbitツ,133159,4,0.3,0.5,865,262,6608
ttvSomeSaucy,199022,30,1.19,2.0,1524,1773,8015
JK BRaVE YT,330809,51,1.31,2.5,2008,2559,14318
primal kcazzy,287561,28,1.31,1.3,2233,2886,11869
Lvstphoenix,342443,9,0.61,0.3,2873,1735,15843
UZB050,164537,17,0.72,1.2,1390,989,7574
Hazardous Logic,429303,25,1.34,1.2,2166,2878,19433
GEIL MaXiGuM,44567,4,1.14,0.9,425,481,1798
PewLookAlike,101486,7,0.44,0.5,1331,587,5166
butchersdr,72720,17,1.32,2.0,868,1125,2980
Haitorii,298974,25,1.12,1.2,2163,2400,13657
StyxiΨ,207069,15,0.75,1.1,1320,985,9573
bib_hop,43836,1,1.07,0.4,248,265,1911
KKILLER ANGEL,225146,9,0.7,0.5,1964,1368,10122
UwU Cthulhu,103389,19,0.95,1.7,1104,1026,4550
fat deg on kava,6929,3,0.95,2.8,108,100,311
Jano0o_o,68895,11,1.12,2.5,432,473,2907
Zara Coconut,255935,24,0.62,1.3,1813,1103,12063
TROUBLE 凸-_-凸,298375,33,0.99,1.5,2201,2137,12848
Serious Hakid,114613,5,0.81,0.5,984,796,5000
4R4G0R,446945,55,1.15,2.1,2568,2881,18964
G o l d P r o,261820,38,1.19,1.9,1981,2311,10969
DDM92ϟ,28676,1,0.75,0.5,221,165,1368
Zero is back,220813,21,1.05,1.1,1837,1908,9125
Shadyッ,11196,2,0.69,0.3,617,425,495
VSC TdSoqueTeS,176501,21,1.32,2.1,1009,1304,7238
IAM_MBiO,295007,9,0.6,0.4,2158,1286,15648
Field_King,112991,3,0.61,0.5,588,358,5296
Souls OCulien,53812,2,0.34,0.8,249,84,2741
Miro.PL,167345,7,0.29,0.7,1035,298,7988
Fortnitedelcaxxo,48699,2,0.54,0.3,708,378,2296
V0N .,110967,14,1.35,2.4,591,781,4956
дидиска,155508,15,1.11,1.7,909,990,6538
Decent William,74511,4,0.7,0.7,571,399,3278
molaz1,344375,42,1.02,2.2,1869,1863,14717
PADRINHO 240Hz,564455,71,1.19,2.5,2821,3273,24426
RS OP ytOviPatac,323134,63,1.35,2.6,2387,3128,12515
Crysonek,350927,65,1.4,2.7,2392,3248,14444
pari93,174115,27,1.25,2.2,1242,1523,6980
D0nger.,54535,6,1.41,1.5,397,553,2275
あの谷次郎,129017,22,1.01,1.9,1149,1139,5260
Guru Guru Waton,118248,17,1.2,1.8,926,1095,4765
CookiePeanuts20,5439,1,0.51,1.0,100,50,246
GkingTV,150243,11,1.43,1.3,855,1206,6348
Cz - xSn0Wツ,234436,40,1.33,2.2,1847,2401,9845
PuzzleMagnet,53345,2,0.47,0.5,438,204,2730
DasLooney,18566,0,0.26,0.0,258,66,908
HS oTACHE,196122,46,1.37,2.3,1997,2671,7955
Mypkun,32562,2,0.34,0.1,1551,523,1991
ᵀʷᶦᵗᶜʰDannyTrips,137202,13,0.98,1.0,1368,1332,6178
Rage907,143727,24,1.26,2.3,1030,1271,6316
UEC_GameMaster15,173255,35,0.91,1.3,2701,2418,6910
1Royal Ridge TTV,134642,20,0.63,2.5,789,488,6109
AL Rabbit神,135089,19,0.96,2.0,954,898,6554
Méalune,286285,54,0.79,2.4,2263,1741,12650
Twitch HeyimPal,151429,18,0.96,1.1,1591,1511,7027
NTNS NIKOLAS,103662,4,0.74,0.4,1078,795,4386
lady_cookie_mor,58119,8,0.61,2.5,319,189,2736
DoryanLepro,309618,44,1.23,2.5,1729,2077,13136
IMMORTALOFDEATH,59205,6,1.04,1.6,378,388,2541
Colonel_Calico,268133,36,0.84,1.5,2349,1945,12496
00LaPlume,54095,5,0.63,0.7,722,455,2279
BLEIKRAY,88129,11,0.94,0.6,1936,1801,3669
ᴹᶠᴳ Nannya,64534,7,0.58,1.3,525,301,2994
kita ℭ,240481,47,1.34,1.9,2444,3212,9636
T-Roy Jenk1ns,235768,16,1.03,1.1,1518,1554,9790
TaCi drecu,199565,20,0.74,1.0,1996,1472,8766
ThicccccccccTaco,379479,35,1.29,1.4,2463,3128,15890
Lacyboy21,229592,26,1.09,1.6,1672,1786,9492
ꙮKυʂԋKιʂʂҽʂꙮ,82790,12,1.09,1.4,830,895,3509
ṨHADOWッ,93456,26,0.87,1.3,1978,1699,3788
Ttv Don_Ivory,149499,22,1.46,2.4,918,1305,5858
miLk_33,365871,39,1.14,1.7,2256,2522,16364
Juliana x,368430,28,1.02,1.3,2158,2171,16981
Notorious Lo,22837,5,0.69,1.7,296,200,1011
Normich,88834,20,1.28,2.8,708,880,3843
Aykut MT,136514,18,1.43,2.0,912,1282,5364
DinD0ni,275629,17,0.95,1.2,1431,1344,11890
WarriorPixie,263721,12,0.67,0.7,1807,1210,11824
Chickuh,13598,1,0.41,0.4,233,96,661
NightOwlLuna,6876,0,0.26,0.0,106,28,324
CONANIZED,502448,55,1.24,2.8,1948,2340,21423
Daddy Skipps,10630,2,0.26,1.4,141,36,489
REBEL ARMY CINC,158063,4,0.43,0.5,800,341,7814
NRG NoMercys-,293429,17,0.63,0.8,2108,1321,13189
Λ Fighter Λ,139318,9,1.06,1.1,840,883,5938
Ƶ Ø M Ƀ Ɨ Ɨ 67,51476,4,1.28,1.5,260,328,2291
S.P.D Emergency,234385,41,0.88,1.6,2490,2147,10415
Sleptt,158059,27,1.41,2.0,1352,1873,6574
Santigold-,241888,38,1.25,2.5,1518,1848,10217
Donsuki,346619,51,1.45,1.8,2768,3943,13190
Fredator_,172464,29,0.98,1.9,1518,1452,6896
ItsMichaelaa,96408,5,0.55,0.5,1068,582,4308
Lei Ya,224662,38,0.86,2.8,1365,1143,10353
1iAmANiNja1,102283,7,1.27,1.0,684,863,4218
ASSA6644,192033,20,1.23,1.3,1561,1891,7798
ꓘush,125252,12,1.32,1.5,800,1037,5076
BabyFaceCro,274355,55,1.13,2.3,2426,2677,11502
Barnabas6002,298116,20,0.64,1.8,1103,689,14021
VYA_HECTOR_93,298972,29,1.04,2.0,1474,1504,12927
Martin MC_Fly,352743,34,1.08,1.7,1988,2102,15923
