Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
NiteGamerYT 190k,15872,6,0.47,1.4,429,200,739
CIUPEA 144.HZ,54479,9,0.61,0.5,1938,1174,2441
曼巴精神のR6,208411,103,4.17,12.2,844,3093,6661
Τriρs,478280,25,0.7,1.0,2581,1785,21679
Mₐₜₜzᵢₗₗₐツ,551309,62,1.59,2.5,2527,3930,22014
Scribell,212388,34,1.03,2.3,1491,1505,8945
adore johnnyy,262750,91,1.68,3.2,2853,4641,10758
UçaN_HamSi,67758,25,0.68,1.1,2182,1471,3199
sllion.,307632,87,1.0,5.8,1511,1422,13235
Twitch ClueVibes,42073,5,1.06,0.6,796,838,1868
JStarset,354781,73,2.16,3.1,2320,4856,12317
ᴿᵃᵛᵌᴺᵔᵜᵔ,24262,7,0.64,2.3,311,196,1167
ManuelXD -,788742,886,2.43,38.4,2308,3456,31397
الشيخ الاردني,492893,130,2.0,4.6,2824,5399,18228
MzViirus,192328,60,1.75,7.1,841,1363,8123
TheNewbiieTTV,106409,10,1.22,1.2,863,1037,4324
MRºRIP,74063,11,0.97,2.7,410,387,3227
stepbro Disarma,415749,169,1.88,6.4,2643,4655,16213
VEM TRANQUILOO,552919,130,1.05,4.7,2771,2763,23667
Βigi,208402,42,1.53,2.8,1514,2248,8931
Flor .,136092,64,1.17,6.4,1003,1102,5688
V I R U S,197088,31,1.03,1.7,1811,1839,7799
TheZokii,344837,107,2.63,4.6,2351,5912,11150
SpeedArtery YT,11051,6,2.09,15.0,40,71,421
xo_niki,91820,30,1.5,4.3,695,997,3509
Reaperbash,99113,25,1.22,5.6,450,518,4055
DreDenn on YT,153532,29,1.17,2.4,1226,1397,6569
Microd0t,114356,36,1.58,4.3,846,1282,4175
ℳ o . Ｓ ℽ ℛ,256506,45,1.51,2.4,1896,2799,10095
ᵀʷᶦᵗᶜʰMinerimOxe,217015,34,1.36,2.3,1461,1940,9074
KFC_Froggy 蛙組.,448050,28,0.91,1.1,2586,2332,20497
TheMagikToxicツ,165230,25,0.66,0.9,2829,1859,7237
Lady Suralai,50303,3,0.66,1.0,308,200,2268
Sologaming786,113232,28,1.64,4.4,639,1004,4757
3.R,107967,19,1.83,2.5,753,1340,4338
psn(pr-noga),39153,1,0.71,0.4,267,188,1795
packet loss leo,16610,7,1.16,2.8,251,283,692
05 ToyseTe,44816,15,0.85,2.0,763,638,1860
BigGipp.ttv,181871,93,2.15,8.6,1080,2119,7098
Kalaaleq Beast,282860,15,0.89,0.8,1838,1621,12701
Willya Ben Ova,9636,0,0.26,0.0,200,52,526
Mikest584,4724,0,0.53,0.0,209,110,210
GordinDaTwitch,81389,52,2.3,9.1,570,1191,3274
ChickPhilay,263075,38,1.5,2.1,1803,2651,10331
binedebił,382738,194,2.64,8.5,2276,5503,13637
GamingwGhoulTV,63057,26,1.97,6.4,408,753,2182
whﱞiskey,43482,15,1.1,6.0,248,257,1960
itsjust_Ivy_,296749,9,0.88,0.3,2769,2427,12597
miniyo2,82417,5,0.28,0.8,597,166,4179
ttwyla,223485,63,2.23,6.5,964,2008,8209
Code DashCb,434980,138,1.44,5.6,2457,3342,17604
JustBlameJoshTV,25243,4,0.72,2.2,185,131,1123
The Gorg,553427,78,0.83,3.2,2468,1986,24567
Evening0 Twitch,190982,14,0.92,0.8,1837,1681,8050
ToXic_Crispin,181857,22,0.92,1.1,1922,1740,7623
AuhurAlter,521682,371,3.18,17.5,2121,5571,19179
LaLaLa Lowla,49634,16,1.45,1.7,946,1348,2030
S3Saint,194761,22,0.92,1.6,1400,1263,8436
Doϲtor,187571,25,1.38,1.7,1435,1945,7229
lalana043,98950,12,1.11,1.7,702,766,4080
FB_Moose,239121,72,1.21,6.8,1063,1197,10097
VitunAuti041ツ,51454,13,1.41,7.1,182,238,2307
Clasѕy,514371,273,3.32,11.9,2293,6716,16723
milanko11,112710,11,0.96,2.1,532,498,4966
BarbieTown,119546,9,0.5,0.9,973,485,6079
Sherwood-,570096,130,2.29,6.2,2105,4513,21748
paralen01,387866,42,0.94,1.5,2734,2530,16332
PSEUDOVULGAIRE,459393,77,1.57,3.7,2106,3183,18856
Lucky_LLukK,478549,134,1.49,7.8,1709,2344,20761
ᴹᶠᴳ Hogsmeade,307367,84,2.24,4.4,1916,4101,10122
Twitch Activas,443803,84,1.86,3.5,2398,4311,16454
FIR-TorTuGniaL-,458405,28,1.1,1.1,2476,2705,20043
Pup-pi,441740,197,2.11,12.5,1571,2903,18194
Twitchlvadriana,148885,14,0.49,1.0,1363,661,6890
Gughi black eye,115333,28,0.82,2.1,1319,1053,5377
ttv Mochiii_x,14178,4,1.05,3.8,104,105,592
Haze-Dubby ॐ,129618,27,0.96,1.3,2043,1943,5306
SlamFPS,38667,10,2.14,4.5,223,456,1518
Ѕmaсks,109735,186,3.11,9.5,1952,5484,4227
SimplyÃℓeχaиdrØs,224481,34,1.04,2.0,1738,1765,9662
Tῳizzy,20565,1,0.55,0.8,121,66,1013
The Ecuasian,245207,28,0.83,1.7,1650,1347,11219
xCrystalShip,315868,23,0.4,0.8,2789,1104,16586
Prince Strap,315184,375,4.21,15.4,2435,8665,10311
unikornpiss,69249,13,0.84,1.0,1276,1066,3102
DammitJess,184664,21,0.83,1.0,2126,1738,8026
AQT Rinoツ,291229,50,1.52,3.1,1619,2390,11828
ɐʌɐʞ uo sʎɐqʎuun,8986,64,2.91,7.2,894,2413,295
croatianbuffalo,616382,108,1.67,5.1,2104,3341,26384
d0rrk,189730,26,1.31,1.2,2209,2865,7877
ᵀᵀⱽ LupiiNz,69747,10,0.84,0.6,1756,1464,3049
FuScOnEd,752417,113,1.97,4.0,2817,5339,29613
222 GaminG on FB,75710,9,0.97,2.5,361,342,3562
TocToc-Faaaaio,402779,176,2.1,8.5,2069,3966,15026
OG-nutone76,143354,15,0.71,1.4,1071,755,6096
njethro,319929,121,2.11,11.6,1047,1953,12859
Batatinha_Chips,305462,21,0.96,1.4,1534,1446,13489
ɱąɖŋɛҳųʂ,287942,37,1.19,2.9,1292,1489,12239
Roger_Rabbitツ,133159,4,0.3,0.5,865,262,6608
mrJonnyM,523719,163,1.66,7.1,2306,3561,20361
ttvSomeSaucy,199022,30,1.19,2.0,1524,1773,8015
OMGさん,52735,20,1.74,4.6,432,715,1860
GoodGuyBambi,39987,42,1.53,4.3,966,1414,1550
JK BRaVE YT,330809,51,1.31,2.5,2008,2559,14318
ғᴀᴢᴇ ARAKA29_ツ,303044,51,1.29,3.1,1661,2082,12518
primal kcazzy,287561,28,1.31,1.3,2233,2886,11869
Lvstphoenix,342443,9,0.61,0.3,2873,1735,15843
UZB050,164537,17,0.72,1.2,1390,989,7574
CL4NPlayer TTV,278258,48,1.24,3.7,1290,1542,11934
Dougall Ya DiGG,60930,21,2.32,4.9,426,938,2121
Hazardous Logic,429303,25,1.34,1.2,2166,2878,19433
illuminanceTTV,593994,187,2.97,8.1,2296,6266,21960
GEIL MaXiGuM,44567,4,1.14,0.9,425,481,1798
PewLookAlike,101486,7,0.44,0.5,1331,587,5166
frayLingers,691452,357,3.53,14.6,2438,7339,24206
6GG,153262,34,1.63,4.5,762,1186,6670
butchersdr,72720,17,1.32,2.0,868,1125,2980
nAsTYxbone,85869,21,1.36,6.1,343,438,3838
Zoe ム,148859,52,2.04,6.9,755,1433,5478
69ッッッ,370635,350,5.19,24.9,1405,5472,11860
keyboardreyli,790158,405,2.75,14.4,2806,6594,28710
ｲﾘムﾑ,149366,32,1.86,5.3,608,1071,5801
Haitorii,298974,25,1.12,1.2,2163,2400,13657
StyxiΨ,207069,15,0.75,1.1,1320,985,9573
bib_hop,43836,1,1.07,0.4,248,265,1911
KKILLER ANGEL,225146,9,0.7,0.5,1964,1368,10122
UwU Cthulhu,103389,19,0.95,1.7,1104,1026,4550
rac711,107596,12,1.01,2.9,413,404,4620
pughiee,107836,95,2.54,5.4,1770,4259,4118
Jaiden Maynee,380673,145,2.31,7.6,1920,4100,14870
fat deg on kava,6929,3,0.95,2.8,108,100,311
Jano0o_o,68895,11,1.12,2.5,432,473,2907
Каїz,20425,33,3.33,8.1,405,1237,739
Twitch Dakilla84,296368,80,1.88,3.0,2678,4877,10248
Zara Coconut,255935,24,0.62,1.3,1813,1103,12063
Twitch_PuZiiyoッ,142442,290,5.68,21.8,1328,5898,4797
SchwarzPanda,16166,4,0.54,3.8,105,55,771
TROUBLE 凸-_-凸,298375,33,0.99,1.5,2201,2137,12848
ツCasul,260127,44,1.16,3.3,1338,1495,11123
Redvines,554686,101,1.95,3.8,2633,4925,22038
Twitch ItsCaedo,156278,73,2.12,5.7,1285,2575,6003
Ｌ３ＮＮ,268302,171,4.32,19.3,885,3086,9020
Serious Hakid,114613,5,0.81,0.5,984,796,5000
THE PUNISHΞR,112924,15,1.66,2.1,712,1159,4442
eboyakill,632640,108,0.48,4.8,2258,1022,30346
4R4G0R,446945,55,1.15,2.1,2568,2881,18964
G o l d P r o,261820,38,1.19,1.9,1981,2311,10969
DDM92ϟ,28676,1,0.75,0.5,221,165,1368
